Arecanut,Andaman and Nicobar Islands,Kharif     
Other Kharif pulses,Andhra Pradesh,Whole Year 
Rice,Arunachal Pradesh,Autumn     
Banana,Assam,Rabi       
Cashewnut,Bihar,Summer     
Coconut ,Chandigarh,Winter     
Dry ginger,Chhattisgarh,
Sugarcane,Dadra and Nagar Haveli,
Sweet potato,Goa,
Tapioca,Gujarat,
Black pepper,Haryana,
Dry chillies,Himachal Pradesh,
other oilseeds,Jammu and Kashmir ,
Turmeric,Jharkhand,
Maize,Karnataka,
Moong(Green Gram),Kerala,
Urad,Madhya Pradesh,
Arhar/Tur,Maharashtra,
Groundnut,Manipur,
Sunflower,Meghalaya,
Bajra,Mizoram,
Castor seed,Nagaland,
Cotton(lint),Odisha,
Horse-gram,Puducherry,
Jowar,Punjab,
Korra,Rajasthan,
Ragi,Sikkim,
Tobacco,Tamil Nadu,
Gram,Telangana ,
Wheat,Tripura,
Masoor,Uttar Pradesh,
Sesamum,Uttarakhand,
Linseed,West Bengal,
Safflower,,
Onion,,
other misc. pulses,,
Samai,,
Small millets,,
Coriander,,
Potato,,
Other  Rabi pulses,,
Soyabean,,
Beans & Mutter(Vegetable),,
Bhindi,,
Brinjal,,
Citrus Fruit,,
Cucumber,,
Grapes,,
Mango,,
Orange,,
other fibres,,
Other Fresh Fruits,,
Other Vegetables,,
Papaya,,
Pome Fruit,,
Tomato,,
Rapeseed &Mustard,,
Mesta,,
Cowpea(Lobia),,
Lemon,,
Pome Granet,,
Sapota,,
Cabbage,,
Peas  (vegetable),,
Niger seed,,
Bottle Gourd,,
Sannhamp,,
Varagu,,
Garlic,,
Ginger,,
Oilseeds total,,
Pulses total,,
Jute,,
Peas & beans (Pulses),,
Blackgram,,
Paddy,,
Pineapple,,
Barley,,
Khesari,,
Guar seed,,
Moth,,
Other Cereals & Millets,,
Cond-spcs other,,
Turnip,,
Carrot,,
Redish,,
Arcanut (Processed),,
Atcanut (Raw),,
Cashewnut Processed,,
Cashewnut Raw,,
Cardamom,,
Rubber,,
Bitter Gourd,,
Drum Stick,,
Jack Fruit,,
Snak Guard,,
Pump Kin,,
Tea,,
Coffee,,
Cauliflower,,
Other Citrus Fruit,,
Water Melon,,
Total foodgrain,,
Kapas,,
Colocosia,,
Lentil,,
Bean,,
Jobster,,
Perilla,,
Rajmash Kholar,,
Ricebean (nagadal),,
Ash Gourd,,
Beet Root,,
Lab-Lab,,
Ribed Guard,,
Yam,,
Apple,,
Peach,,
Pear,,
Plums,,
Litchi,,
Ber,,
Other Dry Fruit,,
Jute & mesta,,
